"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Christensenella",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000353249899071,0.0,0.000157997851229,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;Other",0.00981332381738,0.0113179606516,0.00097091004145,0.00285088835718,0.00689957975287,0.026611608167,0.0,0.000792895654932,0.0,0.00353870764458,0.0104713782328,0.00498104557877,0.000833750208438,0.0,0.0,0.000119840851349,0.0,0.00105354770739,0.000211922133753,0.000152222447737,0.000677598590595,0.00106729580946,0.0,0.00410663794264,0.000252796561967,0.000331601635901,0.000285617843326,0.000243572395129
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__",0.0205187679818,0.0105140681193,0.000149370775608,0.000967265692613,0.00669050157854,0.0213351686167,0.00358220211161,0.00149064383127,0.0,0.00753793203742,0.0397912372848,0.00268888301155,0.0117975654494,0.000490741346594,0.00122884960771,0.00146205838646,0.000555798165866,0.00187806330448,0.00566134843026,0.0012177795819,0.00623390703347,0.0029210201101,0.0,0.00262555540595,0.000157997851229,0.000147378504845,0.00366110144626,0.000270635994587
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium",0.00245333095435,0.000803892532261,0.00097091004145,0.00188362266456,0.00248803027452,0.00357880247763,0.0,0.0,0.00590717299578,0.00443550341752,0.0013629412938,0.0049369655294,0.00106303151576,0.000523457436367,0.0,0.00297205311347,0.0,0.00109935412945,0.00663013532742,0.0,0.00101639788589,0.00140433659139,0.000454178441663,0.0,0.00404474499147,0.000921115655282,0.0,0.00156968876861
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53",0.0,0.0,0.0,0.0,0.0,0.000321174581326,0.0,0.0,0.0,0.0,0.000299182235224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium",0.0,0.000148085466469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000239681702699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000181756809389,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__EtOH8;g__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000143809021619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000467374652715,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Anaerofustis",0.0,0.0,0.000112028081706,0.0,0.0,0.0,0.000219959778783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Pseudoramibacter_Eubacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.000188536953243,0.0,0.000408329930584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other",0.0445837143431,0.0238206050349,0.0678516748198,0.0559995927302,0.038344937172,0.0508373480156,0.00065987933635,0.0134475103076,0.0226759221451,0.0407436133598,0.0185825410545,0.00335008375209,0.020656161414,0.00369691814434,0.00781422314649,0.00831695508365,0.00726507602525,0.00760386606202,0.00802276649208,0.0143089100873,0.0111126168858,0.0019098977643,0.00267460637868,0.0134643866972,0.0130822220818,0.00537931542684,0.0175525147353,0.00506089309878
