"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000191745362159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135317997294
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae",0.000111515043379,0.0013750793315,0.000522797714627,0.0,0.000167262539464,0.000734113328745,0.0,0.000126863304789,0.000353885939839,0.000533229919046,0.000132969882322,0.000528960592436,0.000125062531266,0.00215926192501,0.0,0.0024687215378,0.00222319266346,0.0079703174385,0.00163482788895,0.0,0.0,0.00196607122795,0.00565199838514,0.0,0.00417114327245,0.00427397664051,0.000519305169683,0.00305818673884
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000203279577178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae",0.000111515043379,0.0,0.0,0.0,0.0,0.0,0.000565610859729,0.00034887408817,0.0,0.00121188617965,0.0,0.0,0.0,0.0,0.0518322462741,0.0,0.00222319266346,0.00755805963996,0.000877963125549,0.000304444895474,0.00189727605367,0.00404448938322,0.00534921275737,0.0218796283829,0.0,0.000110533878634,0.0,0.000162381596752
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae",0.00265405803243,0.0,0.0,0.0,0.000480879800958,0.0,0.0,0.000158579130986,0.00185109568531,0.0,0.00751279835117,0.0,0.0,0.00140679186024,0.000504143428805,0.0,0.0,0.00297741743392,0.0,0.0,0.0,0.00426918323784,0.00105974969721,0.000201965800458,0.0,0.0,0.0,0.0046549391069
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000158579130986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Spirochaetes;c__[Brachyspirae];o__[Brachyspirales];f__Brachyspiraceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000378890392422
"k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000119840851349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__",0.0,0.00114237359848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00150075037519,0.0,0.0,0.0,0.0,0.0,0.000121098362145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__",0.0,0.000486566532685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Cerasicoccales];f__[Cerasicoccaceae]",0.0,0.000888512798815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae",0.0,0.00190395599746,0.0,0.0,0.0,0.0,0.0,0.00174437044085,0.0,0.0,0.0,0.0,0.000541937635484,0.0,0.0,0.0140453477782,0.0,0.0,0.000877963125549,0.0126344631622,0.0,0.0,0.0,0.0,0.0068255071731,0.000221067757268,0.0765455820113,0.0
